Title,Experience,Salary,Date of Salary,What Is your Company,Work Type,Work Hour,City of Company site,Amount,Currency,Amount_EGP,category,Experience Years
Data Engineer,1,30000,7/17/2025 0:00,Not Egyption but site in egypt,Remotley,Full Time,6-Oct,30000,EGP,30000,Data-Science,1
Data Engineer,1,30000,8/1/2025 0:00,Not Egyption but site in egypt,Remotley,Full Time,,30000,EGP,30000,Data-Science,1
Data Engineer,2,600 $,7/16/2025 0:00,Not Egyption and site out of egypt,Remotley,Full Time,ksa,600,USD,29124,Data-Science,2
Data Engineer,2,32000,7/1/2025 0:00,Egyption,Hybird,Full Time,Cairo,32000,EGP,32000,Data-Science,2
Data Engineer,2,660 USD,6/1/2025 0:00,Not Egyption and site out of egypt,Remotley,Full Time,Dubia,660,USD,32036.4,Data-Science,2
Data Engineer,2,37000,7/19/2025 0:00,Egyption,Hybird,Full Time,Cairo,37000,EGP,37000,Data-Science,2
Data Engineer,2,40000,8/3/2025 0:00,Not Egyption but site in egypt,Hybird,Full Time,cairo,40000,EGP,40000,Data-Science,2
Data Engineer,3,55000,7/25/2025 0:00,Not Egyption but site in egypt,Hybird,Full Time,Cairo,55000,EGP,55000,Data-Science,3
Data Engineer,3,57000,7/18/2025 0:00,Egyption,Hybird,Full Time,Cairo,57000,EGP,57000,Data-Science,3
Data Engineer,3,58000,7/16/2025 0:00,Not Egyption but site in egypt,Hybird,Full Time,Cairo,58000,EGP,58000,Data-Science,3
Data Engineer,3,100000 EGP,1/23/2025 0:00,Not Egyption but site in egypt,Hybird,Full Time,Cairo,100000,EGP,100000,Data-Science,3
Data Engineer,4,55000 egp net,7/16/2025 0:00,Egyption,Hybird,Full Time,Cairo,55000,EGP,55000,Data-Science,4
Data Engineer,4,70000,3/1/2025 0:00,Not Egyption but site in egypt,Hybird,Full Time,France bank,70000,EGP,70000,Data-Science,4
Data Engineer,4,80k,6/1/2025 0:00,Not Egyption but site in egypt,Hybird,Full Time,France,80000,EGP,80000,Data-Science,4
Data Engineer,4,130000,7/16/2025 0:00,Not Egyption and site out of egypt,On Site,Full Time,Riyadh,130000,EGP,130000,Data-Science,4
Data Engineer,5,40000,4/1/2025 0:00,Egyption,Remotley,Full Time,Cairo,40000,EGP,40000,Data-Science,5
Data Engineer,3 months till now,15k,9/4/2001 0:00,Egyption,On Site,Full Time,cairo,15000,EGP,15000,Data-Science,0
